Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
2,male,55.5,1,2,34.2,S
1,female,23.4,2,0,10.0,C
3,female,39.6,1,1,20.5,S
2,male,24.7,2,1,16.0,S
3,male,47.2,0,1,23.3,S
2,male,58.1,1,0,19.8,C
1,female,26.1,0,1,40.7,S
2,female,43.0,2,2,14.5,S
3,female,48.9,0,1,33.5,S
1,male,37.2,2,0,24.9,Q
3,male,33.1,1,0,30.4,S
2,female,50.6,0,1,15.0,C
1,female,22.3,1,0,27.8,S
3,male,60.4,0,2,38.0,Q
2,male,42.1,1,2,16.4,S
1,female,55.0,2,1,12.3,S
3,male,29.9,0,0,43.2,C
2,female,40.7,1,1,27.9,S
3,female,35.4,2,0,25.3,S
1,male,49.5,1,1,19.7,S
